,source,target,id,value,amount,count,logamount
2330,92d343d8-19b9-45fe-ba39-25915a70b9f0,982ef2e2-814d-4346-b3d0-655c4ccd524e,2330,1.0,143878.0,1,11.8767279475491
2331,cbddfe9a-e2ea-4835-8498-61ba9ef8bc24,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2331,1.0,10200.0,1,9.23024103368252
2332,90f1cee6-c21c-49c8-9007-391314b8f246,2fc6903a-bee9-4e0c-8e1b-75f8b972d06e,2332,1.0,6646.0,1,8.801920904041582
2333,90f1cee6-c21c-49c8-9007-391314b8f246,6376fbb0-157a-4e3f-b7fb-4c676524e875,2333,1.0,10000.0,1,9.210440366976517
2334,90f1cee6-c21c-49c8-9007-391314b8f246,78b8963c-98d7-4f6d-a878-7dadf37962e7,2334,1.0,9895.0,1,9.199885914072324
2335,90f1cee6-c21c-49c8-9007-391314b8f246,979856ea-0563-493f-981a-5fa4e2a5642e,2335,1.0,181240.0,1,12.107582916311648
2336,90f1cee6-c21c-49c8-9007-391314b8f246,ac126ee5-e1dc-4756-816e-5c7bd81a99d1,2336,1.0,6160.0,1,8.725994381014571
2337,90f1cee6-c21c-49c8-9007-391314b8f246,cafb2742-5f8d-4bc6-93fb-67380f042b16,2337,1.0,9763.0,1,9.186457431512851
2338,90f1cee6-c21c-49c8-9007-391314b8f246,d26fcea7-d6db-4afb-893e-c5325fffeaad,2338,1.0,7262.0,1,8.890548245606167
2339,90f1cee6-c21c-49c8-9007-391314b8f246,fca243b8-477c-41dd-b9ba-fec03688e433,2339,1.0,10000.0,2,9.210440366976517
2340,90f1cee6-c21c-49c8-9007-391314b8f246,fedaafe9-26fd-4b36-80b5-18516a83461e,2340,1.0,8495.0,1,9.04735074348172
2341,7c53e888-c83e-4036-a297-8c4d6a39c4d3,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2341,1.0,600.0,1,6.398594934535208
2342,5137087b-1bab-4557-a2a0-f61f2e367113,9b1bd19d-62c1-4e6a-a661-b00e6670ecfc,2342,1.0,10000.0,4,9.210440366976517
2343,c0e6ddef-6206-4000-a36f-9139588b615d,91e3e475-fa4d-449f-baf9-9ec0e7d85e8d,2343,1.0,124077.0,4,11.728665679087374
2344,7d3fe7b5-780a-492b-94b4-3fd077c032f0,6376fbb0-157a-4e3f-b7fb-4c676524e875,2344,1.0,15642.0,2,9.657778811561771
2345,d5773554-35c2-43b3-83d3-94f661d9df7e,02da194e-cd84-4459-87b0-d1bf5e964065,2345,1.0,0.0,2,0.0
2346,d5773554-35c2-43b3-83d3-94f661d9df7e,062399a3-eb51-4da9-accb-ca1f760d881f,2346,1.0,0.0,2,0.0
2347,d5773554-35c2-43b3-83d3-94f661d9df7e,29cf6ec2-2301-4719-af92-a395ba64d9ab,2347,1.0,0.0,1,0.0
2348,d5773554-35c2-43b3-83d3-94f661d9df7e,5d1dabe0-e1eb-4bdd-8558-2a1927906ac8,2348,1.0,0.0,1,0.0
2349,d5773554-35c2-43b3-83d3-94f661d9df7e,6bd49371-5a25-4709-b140-9e06c6b478f3,2349,1.0,0.0,6,0.0
2350,d5773554-35c2-43b3-83d3-94f661d9df7e,c9279bd3-1a72-416d-916b-f896c0eb0f9a,2350,1.0,0.0,2,0.0
2351,b9affc12-78de-41f8-9be1-ed1a99fae7c3,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2351,1.0,18500.0,4,9.825580063659602
2352,985a63e2-91f8-4d28-a966-d0008eeae6be,22d68296-adda-44ab-b0ff-dc17b60ca433,2352,1.0,8628.0,1,9.062883902508307
2353,b374b59a-2765-4634-983e-9294d2737c55,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2353,1.0,25000.0,1,10.12667110305036
2354,b374b59a-2765-4634-983e-9294d2737c55,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2354,1.0,200.0,2,5.303304908059076
2355,b92a4e06-e362-48e5-bff7-4a117de88b91,3ea3deef-a33c-4254-9190-059091c57088,2355,1.0,60000.0,2,11.002116507732017
2356,e5df6462-bcca-47d3-88c0-a860bc5a20d3,2fa45c51-c325-4ff5-8592-3567187196cb,2356,1.0,20000.0,2,9.90353755128617
2357,e5df6462-bcca-47d3-88c0-a860bc5a20d3,5c2ec313-8156-4e98-9bab-7d66efe636ce,2357,1.0,6667.0,1,8.805075243870684
2358,fafe7661-e31d-420e-893f-d97b06dbfe4f,2fa45c51-c325-4ff5-8592-3567187196cb,2358,1.0,750.0,1,6.621405651764134
2359,b8134de6-24bf-4cdf-8324-41c3dc1d825a,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2359,1.0,500.0,1,6.2166061010848646
2360,b8134de6-24bf-4cdf-8324-41c3dc1d825a,1e0da357-4f08-482d-bf05-cacde2995b2c,2360,1.0,1000.0,1,6.90875477931522
2361,1b17ff3a-a2c9-4a3a-85dd-3c8de5c2b30a,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2361,1.0,5000.0,2,8.517393171418904
2362,3e5ece95-60c7-4303-b2f2-354d8d3d9329,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2362,1.0,1275.0,3,7.151485463904735
2363,2e3a8dac-4ddc-4396-bcd2-05bdb1cd44e2,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2363,1.0,500.0,1,6.2166061010848646
2364,04a63a4d-b38e-4cb3-b75a-acd94ccccdab,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2364,1.0,3000.0,1,8.006700845440367
2365,04a63a4d-b38e-4cb3-b75a-acd94ccccdab,2fa45c51-c325-4ff5-8592-3567187196cb,2365,1.0,50000.0,1,10.819798284210286
2366,9b80b86b-81eb-4af7-bc16-ab93956a5f10,af248ce6-7a87-447f-b3b4-a39123c23249,2366,1.0,5000.0,2,8.517393171418904
2367,9b80b86b-81eb-4af7-bc16-ab93956a5f10,bfcf9526-9933-4613-9c85-c470d9d95deb,2367,1.0,2750.0,1,7.919719760924575
2368,bb53d2de-589f-4f4b-aa13-d6cc412dcac6,22d68296-adda-44ab-b0ff-dc17b60ca433,2368,1.0,10000.0,1,9.210440366976517
2369,984559e8-0b81-4c5c-bef6-245da221c298,117d7353-2666-41f7-b3e2-18d10d6808b5,2369,1.0,25.0,1,3.258096538021482
2370,984559e8-0b81-4c5c-bef6-245da221c298,619698de-1f86-4fa1-84b4-b6ce16d17c94,2370,1.0,25.0,1,3.258096538021482
2371,984559e8-0b81-4c5c-bef6-245da221c298,6b318a84-c549-4899-8db0-79fa4f5d03fa,2371,1.0,25.0,1,3.258096538021482
2372,f8cb20ed-25f9-4c2f-8d37-017ff2a3c6fb,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2372,1.0,24000.0,5,10.085850775128717
2373,f8cb20ed-25f9-4c2f-8d37-017ff2a3c6fb,22cc2775-654f-4b3c-a4c1-7e728586d3ff,2373,1.0,3500.0,1,8.160803920954665
2374,f8cb20ed-25f9-4c2f-8d37-017ff2a3c6fb,6542805e-6f53-48c1-98dc-76d8b568a8b7,2374,1.0,2000.0,2,7.601402334583733
2375,f8cb20ed-25f9-4c2f-8d37-017ff2a3c6fb,7f32162d-e8eb-4246-a12e-2baa9cd3dfa7,2375,1.0,1000.0,1,6.90875477931522
2376,f8cb20ed-25f9-4c2f-8d37-017ff2a3c6fb,bd543665-8463-403f-b921-fd6c89a30d1f,2376,1.0,1000.0,2,6.90875477931522
2377,f8cb20ed-25f9-4c2f-8d37-017ff2a3c6fb,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2377,1.0,5000.0,4,8.517393171418904
2378,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2378,1.0,1540.0,7,7.340186835320115
2379,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,2fa45c51-c325-4ff5-8592-3567187196cb,2379,1.0,100.0,1,4.61512051684126
2380,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,7d80c43d-605b-41cc-8ebe-f5a12d346c5e,2380,1.0,750.0,3,6.621405651764134
2381,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,98b944ba-d6be-4a15-adf0-a281a3be3247,2381,1.0,350.0,1,5.860786223465865
2382,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,a0850e13-4886-4de7-870f-9c1be3131b5b,2382,1.0,350.0,2,5.860786223465865
2383,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,ad55c1c9-6c02-4f8c-84f3-b11e065e8ed4,2383,1.0,100.0,1,4.61512051684126
2384,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,bfcf9526-9933-4613-9c85-c470d9d95deb,2384,1.0,100.0,1,4.61512051684126
2385,7528cbbc-35f1-4ba5-a8f4-9e268338d6fc,e85d51b8-9da5-40f1-9923-78e86b30cba7,2385,1.0,35.0,1,3.58351893845611
2386,cc40f6d4-fcd7-41cb-ae3f-afe971e55ebf,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2386,1.0,150.0,3,5.017279836814924
2387,81379912-1fcd-431f-aab8-f34933200183,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2387,1.0,2000.0,1,7.601402334583733
2388,38ca9513-b1f6-4b70-ba93-262a9d609584,bfcf9526-9933-4613-9c85-c470d9d95deb,2388,1.0,1000.0,2,6.90875477931522
2389,ad141af7-d752-4009-a8db-55d8fa0b3667,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2389,1.0,8700.0,3,9.071193240566025
2390,7430d09c-7d19-4404-a3b5-9b7a6756e401,1e0da357-4f08-482d-bf05-cacde2995b2c,2390,1.0,1500.0,1,7.313886831633462
2391,f9b36bbd-587b-4bbf-88f3-f054622da41e,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2391,1.0,100.0,1,4.61512051684126
2392,6de3e505-946f-4bdc-9f37-81ef30fec504,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2392,1.0,75400.0,3,11.230575816507569
2393,6de3e505-946f-4bdc-9f37-81ef30fec504,1e0da357-4f08-482d-bf05-cacde2995b2c,2393,1.0,2500.0,1,7.824445930877619
2394,88a317d5-5388-4abb-8a87-20a0b54801c9,097baf69-6bd6-4ea7-86dd-2bd05656e734,2394,1.0,2072.0,3,7.636752112435779
2395,88a317d5-5388-4abb-8a87-20a0b54801c9,113d90e1-f91e-40f4-a469-c5aedb9bd4c4,2395,1.0,250.0,1,5.5254529391317835
2396,88a317d5-5388-4abb-8a87-20a0b54801c9,1faddd59-a5cd-4982-8bdb-6b9d23d11c8c,2396,1.0,1500.0,1,7.313886831633462
2397,88a317d5-5388-4abb-8a87-20a0b54801c9,28a5925d-53a3-40fc-95aa-4722bce664de,2397,1.0,3000.0,3,8.006700845440367
2398,88a317d5-5388-4abb-8a87-20a0b54801c9,7c2f8fed-4f7d-461a-af27-4c2a7685491d,2398,1.0,8000.0,4,8.987321812850125
2399,88a317d5-5388-4abb-8a87-20a0b54801c9,7c83ed2d-5717-478c-a764-dff0c81aebdc,2399,1.0,750.0,1,6.621405651764134
2400,88a317d5-5388-4abb-8a87-20a0b54801c9,ab83be47-beed-4d4d-8e31-073fdf69f68b,2400,1.0,750.0,1,6.621405651764134
2401,57d3c08c-9d35-411c-9fda-1a8da6ae43a8,5cc2f07a-0c18-421f-b367-4daf0029aff2,2401,1.0,6000.0,4,8.699681400989514
2402,60fe8a2e-2335-43b6-b549-a484d6574fed,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2402,1.0,60000.0,3,11.002116507732017
2403,00523e02-2f21-4227-8716-1b91f5d59cbf,1e0da357-4f08-482d-bf05-cacde2995b2c,2403,1.0,5000.0,1,8.517393171418904
2404,4f0a7168-dec9-42bd-8352-c4aaa9bdf920,bfcf9526-9933-4613-9c85-c470d9d95deb,2404,1.0,155000.0,1,11.951186847493476
2405,e2b72e12-bb51-4960-9e4e-7fd5fbbd283e,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2405,1.0,45.0,2,3.828641396489095
2406,e8da6655-3559-4b5c-8747-1d1a4feb1265,d2b0a367-92d4-42e0-8d3a-d023d330c3b4,2406,1.0,5000.0,1,8.517393171418904
2407,94d23e4b-f84f-4e2b-ad9b-34ea68750467,7be8979e-ab7d-4f24-8823-2e22d8b0b2d9,2407,1.0,500.0,1,6.2166061010848646
2408,94d23e4b-f84f-4e2b-ad9b-34ea68750467,fadc0256-2f6a-4183-8ce3-500be20d1e88,2408,1.0,1800.0,3,7.496097345175956
2409,6f61b2f0-d63b-4621-bf09-6d749d2b1687,bfcf9526-9933-4613-9c85-c470d9d95deb,2409,1.0,809990.0,3,13.604778415475781
2410,d8f693d9-81bd-47a8-ba7b-e8f13caf818d,07ffda52-508e-4dec-8130-14dfbdd6f3c2,2410,1.0,8000.0,1,8.987321812850125
2411,d8f693d9-81bd-47a8-ba7b-e8f13caf818d,1cfbd9f7-6f1b-4f81-8b7d-d26ba0661813,2411,1.0,8000.0,1,8.987321812850125
2412,d8f693d9-81bd-47a8-ba7b-e8f13caf818d,c435ae3c-113d-4195-8b16-5070dd2aa750,2412,1.0,20000.0,1,9.90353755128617
2413,47d668b5-6d6c-41dc-8357-2dd4c8cef639,bfcf9526-9933-4613-9c85-c470d9d95deb,2413,1.0,5500.0,1,8.612685172875459
2414,b9cbd32d-64b0-4784-8750-f9e8d0cf4e80,e4076f32-94fe-4abf-b9cd-2493448e95dc,2414,1.0,100.0,1,4.61512051684126
2415,edb3bb3f-7272-45f8-830f-c3f39326ee8a,619698de-1f86-4fa1-84b4-b6ce16d17c94,2415,1.0,100.0,1,4.61512051684126
2416,4b8ee812-6e40-40fc-a54a-3aa7780a3fab,bebf1f8a-2add-4934-adc9-03dfdee6e39e,2416,1.0,50.0,1,3.9318256327243257
2417,1444d03a-a891-4d0b-b045-3d5bad8ed57e,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2417,1.0,400.0,3,5.993961427306569
2418,9cf880f0-7b5c-447f-8257-823de21503e3,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2418,1.0,35000.0,3,10.463131911491967
2419,280cac0a-9227-44b9-b3bf-2fa4a548f1ff,260147d0-1e4b-4748-9507-0b52c4ab69a7,2419,1.0,125.0,2,4.836281906951478
