,name,category,state_abbrv,county_uid,city_uid,in_flow,out_flow,flow,pretty_category,lcc,color,x,y
53e96fd1-d514-4483-a2e8-96e892d8632c,UNITED WAY WORLDWIDE,Private-ish,VA,C-510-51,ALEXANDRIA-510-51,0.0,33032.0,33032.0,Private-ish,1,#668DE5,102.7965142271642,104.88292248563741
4c9c4fc7-299b-4de3-a7d4-6c822eb58058,THE FORD FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,1255000.0,1255000.0,Private-ish,1,#668DE5,112.16370905472849,122.25735718407387
c2d3dc7d-6b6f-4ea7-a858-0fba301832db,THE BARBRA STREISAND FOUNDATION,Private-ish,CA,C-37-6,LOS ANGELES-37-6,0.0,3000.0,3000.0,Private-ish,1,#668DE5,122.76108665824526,126.81586737521334
78b92d49-fd6e-44ce-bfee-0f6d08eec5df,MILLS FOUNDATION INC,Private-ish,NJ,C-35-34,MONTGOMERY-35-34,0.0,152.0,152.0,Private-ish,1,#668DE5,68.3998409878656,89.65389111658673
0dba1059-3fd5-43a6-b13e-e53b9713555d,THE IRVING AND GERALDINE SCHAFFER FOUNDATION INC,Private-ish,NY,C-119-36,SCARSDALE-119-36,0.0,7500.0,7500.0,Private-ish,1,#668DE5,64.50089300371597,139.32060376097786
8b404beb-e0f1-4a9e-ad14-51261ed76d45,NEW YORK CITY POLICE FOUNDATION INC,Police Nonprofits,NY,C-47-36,NEW YORK-0-36,8093503.0,9867313.0,17960816.0,Private-ish,1,#668DE5,72.83318316848518,131.24335138979237
b50ee278-6749-4461-a705-01e2eb9d72a2,HARRY  RITA WHITE FOUNDATION INC MINSKY  GRABINACPAS PLLC,Private-ish,NY,C-59-36,MINEOLA-59-36,0.0,4900.0,4900.0,Private-ish,1,#668DE5,88.64536132943532,147.82846772023672
1ad8452b-4c12-4b5c-8b21-de44301f27e9,DAVID  HILDEGARDE MAHONEY FOUNDATION,Private-ish,FL,C-99-12,PALM BEACH-99-12,0.0,500.0,500.0,Private-ish,1,#668DE5,86.8886575001828,145.88422373685725
ffbbf262-e1dd-4794-bcc8-3d697fc6c0a7,THE YASEEN FAMILY FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,450.0,450.0,Private-ish,1,#668DE5,82.12140178822378,146.61340106477883
8e9aed0a-867a-4273-a9dd-879d833c417d,NEW YORK LIFE FOUNDATION,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,13436.0,13436.0,Private-ish,1,#668DE5,108.48347011498612,119.50406848450075
